Episode,Title,URL,Status
39,Episode 39 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,https://www.youtube.com/watch?v=f4dN45rQ3mY,Found
40,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 40,https://www.youtube.com/watch?v=D8x53uaZyIY,Found
41,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 41,https://www.youtube.com/watch?v=l7oiIuvzN2w,Found
42,Disco Dandiya के लिए Jetha की Excitement | Episode 42 | Taarak Mehta Ka Ooltah Chashmah,https://www.youtube.com/watch?v=IPTifGMAB_8,Found
43,Episode 43 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,https://www.youtube.com/watch?v=R4GkzODDoVQ,Found
44,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 44,https://www.youtube.com/watch?v=9qAxsfdSkQM,Found
45,Episode 45 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,https://www.youtube.com/watch?v=Aw3b83ZwjvY,Found
46,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 46 - Full Episode,https://www.youtube.com/watch?v=ErS2axszcX4,Found
47,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 47,https://www.youtube.com/watch?v=K2eCaj3r6pw,Found
48,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 48,https://www.youtube.com/watch?v=EGs1t2Pk4wM,Found
49,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 49,https://www.youtube.com/watch?v=XdudbL59-jI,Found
50,Episode 50 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,https://www.youtube.com/watch?v=-AKZZgJXK2g,Found
51,Episode 51 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,https://www.youtube.com/watch?v=YrxyTjyJliM,Found
52,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 52,https://www.youtube.com/watch?v=nExfyZmDhGM,Found
53,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 53,https://www.youtube.com/watch?v=5RohCRrESGs,Found
54,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 54,https://www.youtube.com/watch?v=5C5YnlWaX3M,Found
55,Episode 55 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,https://www.youtube.com/watch?v=jfD_fP_y8Mc,Found
56,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 56 - Full Episode,https://www.youtube.com/watch?v=lGYi9tC33h0,Found
57,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 57,https://www.youtube.com/watch?v=HW0DE7coVzY,Found
58,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 58,https://www.youtube.com/watch?v=hbC_yHHGIM0,Found
59,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 59,https://www.youtube.com/watch?v=igRdRujw-Ik,Found
60,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 60,https://www.youtube.com/watch?v=MpnVDf9EIBY,Found
61,Episode 61 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,https://www.youtube.com/watch?v=GzRLdyrPFEE,Found
62,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 62,https://www.youtube.com/watch?v=zv4OOZqmfu4,Found
63,Episode 63 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,https://www.youtube.com/watch?v=mrtD7nIwezY,Found
64,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 64,https://www.youtube.com/watch?v=kug4fNI6RQs,Found
65,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 65,https://www.youtube.com/watch?v=6T0njFPFLJk,Found
66,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 66,https://www.youtube.com/watch?v=B3LLSy_Goes,Found
67,Episode 67 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,https://www.youtube.com/watch?v=szCADTLj3xw,Found
68,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 68,https://www.youtube.com/watch?v=IPiC3-BVLO0,Found
69,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता - Throwback - Episode 69 - Full Episode,https://www.youtube.com/watch?v=saA85wcxYPI,Found
70,Episode 70 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,https://www.youtube.com/watch?v=ao7k2fWZTss,Found
71,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 71,https://www.youtube.com/watch?v=aMgPWmI-JwA,Found
72,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 72,https://www.youtube.com/watch?v=FhzM030KPus,Found
73,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 73,https://www.youtube.com/watch?v=EkrfwWrBDUM,Found
74,Episode 74 - Taarak Mehta Ka Ooltah Chashmah | Tapu Ki Shadi | Full Episode | तारक मेहता,https://www.youtube.com/watch?v=iv5PaTz7daM,Found
75,Jetha Catches Sundar | Taarak Mehta Ka Ooltah Chashmah | Full Episode 75,https://www.youtube.com/watch?v=EJcx7WXkd4Q,Found
76,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 76,https://www.youtube.com/watch?v=4W3-Fmjt7sA,Found
77,Jetha Is Angry | Taarak Mehta Ka Ooltah Chashmah | तारक मेहता का उल्टा चशमाह | Full Episode 77,https://www.youtube.com/watch?v=gWxUgDZVsdU,Found
